county_fips,county_name,pathogen_slug,pathogen_raw,sample_date,percentile,detect_prop_15d,trend_pct_15d,our_level,our_trend,plant_name,population_served,fetched_at
36065,Oneida,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:2567,33358,2026-06-30T13:29:31Z
36067,Onondaga,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1354,30613,2026-06-30T13:29:31Z
36067,Onondaga,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1355,16168,2026-06-30T13:29:31Z
36067,Onondaga,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1356,39352,2026-06-30T13:29:31Z
36067,Onondaga,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1357,242377,2026-06-30T13:29:31Z
36067,Onondaga,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1359,50727,2026-06-30T13:29:31Z
36067,Onondaga,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1360,3272,2026-06-30T13:29:31Z
36067,Onondaga,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1361,25965,2026-06-30T13:29:31Z
36069,Ontario,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1362,17936,2026-06-30T13:29:31Z
36069,Ontario,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1363,16507,2026-06-30T13:29:31Z
36071,Orange,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1364,6369,2026-06-30T13:29:31Z
36071,Orange,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1365,27434,2026-06-30T13:29:31Z
36071,Orange,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1366,36227,2026-06-30T13:29:31Z
36071,Orange,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1367,42921,2026-06-30T13:29:31Z
