county_fips,county_name,pathogen_slug,pathogen_raw,sample_date,percentile,detect_prop_15d,trend_pct_15d,concentration,our_level,our_trend,plant_id,plant_name,population_served,fetched_at
36021,Columbia,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1269,ID:1269,6374,2026-07-27T10:43:16Z
36023,Cortland,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1270,ID:1270,26950,2026-07-27T10:43:16Z
36025,Delaware,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1272,ID:1272,3581,2026-07-27T10:43:16Z
36027,Dutchess,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1279,ID:1279,13856,2026-07-27T10:43:16Z
36027,Dutchess,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1278,ID:1278,38207,2026-07-27T10:43:16Z
36027,Dutchess,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1277,ID:1277,21516,2026-07-27T10:43:16Z
36027,Dutchess,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1276,ID:1276,14525,2026-07-27T10:43:16Z
36029,Erie,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:2562,ID:2562,14742,2026-07-27T10:43:16Z
36029,Erie,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:2561,ID:2561,71131,2026-07-27T10:43:16Z
36029,Erie,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1287,ID:1287,83961,2026-07-27T10:43:16Z
36029,Erie,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1285,ID:1285,24461,2026-07-27T10:43:16Z
36029,Erie,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1284,ID:1284,17983,2026-07-27T10:43:16Z
36031,Essex,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:2563,ID:2563,6264,2026-07-27T10:43:16Z
36031,Essex,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1293,ID:1293,3263,2026-07-27T10:43:16Z
36031,Essex,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1291,ID:1291,3076,2026-07-27T10:43:16Z
36033,Franklin,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1296,ID:1296,7175,2026-07-27T10:43:16Z
36043,Herkimer,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1304,ID:1304,13924,2026-07-27T10:43:16Z
36045,Jefferson,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1307,ID:1307,4077,2026-07-27T10:43:16Z
36045,Jefferson,covid-19,SARS-CoV-2,2026-07-11,5.19,,,,watch,stable,ID:1306,ID:1306,23485,2026-07-27T10:43:16Z
36051,Livingston,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1317,ID:1317,3288,2026-07-27T10:43:16Z
36051,Livingston,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1315,ID:1315,15688,2026-07-27T10:43:16Z
36051,Livingston,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1314,ID:1314,4730,2026-07-27T10:43:16Z
36053,Madison,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1319,ID:1319,4908,2026-07-27T10:43:16Z
36053,Madison,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1318,ID:1318,4843,2026-07-27T10:43:16Z
36055,Monroe,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1325,ID:1325,43074,2026-07-27T10:43:16Z
36055,Monroe,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1324,ID:1324,155096,2026-07-27T10:43:16Z
36055,Monroe,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1323,ID:1323,487322,2026-07-27T10:43:16Z
